Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99773,Cumaribo,Female,1998,10-14,1015,566.5
99773,Cumaribo,Female,1998,15-19,1029,1187
99773,Cumaribo,Female,1998,25-29,705,1040
99773,Cumaribo,Female,1998,45-49,214,207.5
99773,Cumaribo,Female,1999,10-14,435,870.5
99773,Cumaribo,Female,1999,15-19,1068,982.5
99773,Cumaribo,Female,1999,20-24,1029,939
99773,Cumaribo,Female,1999,25-29,685,575.5
99773,Cumaribo,Female,1999,30-34,652,588.5
99773,Cumaribo,Female,1999,35-39,530,528
99773,Cumaribo,Female,1999,45-49,224,288
99773,Cumaribo,Female,2000,10-14,1885,1144.5
99773,Cumaribo,Female,2000,15-19,1367,908
99773,Cumaribo,Female,2000,20-24,1087,991.5
99773,Cumaribo,Female,2000,25-29,834,761
99773,Cumaribo,Female,2000,30-34,612,584.5
99773,Cumaribo,Female,2000,35-39,548,555.5
99773,Cumaribo,Female,2001,10-14,1740,1523
99773,Cumaribo,Female,2001,15-19,1120,801
99773,Cumaribo,Female,2001,20-24,1039,991
99773,Cumaribo,Female,2001,25-29,755,721.5
99773,Cumaribo,Female,2001,45-49,271,487.5
99773,Cumaribo,Female,2002,10-14,1450,1069.5
99773,Cumaribo,Female,2002,15-19,990,797
99773,Cumaribo,Female,2002,25-29,610,649
99773,Cumaribo,Female,2003,10-14,2030,1668
99773,Cumaribo,Female,2003,15-19,912,819
99773,Cumaribo,Female,2004,10-14,1015,994.5
99773,Cumaribo,Female,2004,15-19,848,1321
99773,Cumaribo,Female,2004,30-34,684,800.5
99773,Cumaribo,Female,2019,15-19,3033,2856
99773,Cumaribo,Female,2019,20-24,2549,2279.5
99773,Cumaribo,Female,2019,25-29,1737,1582
99773,Cumaribo,Female,2019,30-34,1254,1207.5
99773,Cumaribo,Female,2019,45-49,1070,881.5
99773,Cumaribo,Female,2020,15-19,2838,2819.5
99773,Cumaribo,Female,2020,20-24,2635,2233.5
99773,Cumaribo,Female,2020,25-29,2055,1765
99773,Cumaribo,Female,2020,30-34,1194,1193.5
99773,Cumaribo,Female,2020,35-39,1134,1066.5
99773,Cumaribo,Female,2020,40-44,1539,1195.5
99773,Cumaribo,Female,2021,20-24,2991,2434.5
99773,Cumaribo,Female,2021,25-29,2144,1833.5
99773,Cumaribo,Female,2021,30-34,1655,1439.5
99773,Cumaribo,Female,2021,35-39,1084,1053
99773,Cumaribo,Female,2021,40-44,930,901.5
99773,Cumaribo,Female,2021,45-49,740,809.5
99773,Cumaribo,Male,1998,10-14,163,964.5
99773,Cumaribo,Male,1998,15-19,839,1716
99773,Cumaribo,Male,1998,20-24,684,1267
99773,Cumaribo,Male,1998,25-29,682,763.5
99773,Cumaribo,Male,1998,35-39,561,571.5
99773,Cumaribo,Male,1998,45-49,280,263
99773,Cumaribo,Male,1998,50-54,203,266.5
99773,Cumaribo,Male,1999,10-14,315,599
99773,Cumaribo,Male,1999,15-19,1015,724
99773,Cumaribo,Male,1999,20-24,1042,766
99773,Cumaribo,Male,1999,25-29,828,777
99773,Cumaribo,Male,1999,30-34,619,603
99773,Cumaribo,Male,1999,45-49,345,311
99773,Cumaribo,Male,1999,55+,1054,901.5
99773,Cumaribo,Male,2000,15-19,839,1068
99773,Cumaribo,Male,2000,20-24,1197,889.5
99773,Cumaribo,Male,2000,25-29,847,808.5
99773,Cumaribo,Male,2000,30-34,659,641
99773,Cumaribo,Male,2000,45-49,345,326
99773,Cumaribo,Male,2000,50-54,365,402
99773,Cumaribo,Male,2000,55+,1656,1229.5
99773,Cumaribo,Male,2001,10-14,5626,4137
99773,Cumaribo,Male,2001,15-19,1059,746
99773,Cumaribo,Male,2001,20-24,1368,1020.5
99773,Cumaribo,Male,2002,15-19,706,609
99773,Cumaribo,Male,2002,20-24,1042,903.5
99773,Cumaribo,Male,2002,50-54,324,315.5
99773,Cumaribo,Male,2003,15-19,971,821.5
99773,Cumaribo,Male,2003,20-24,933,895
99773,Cumaribo,Male,2004,10-14,1080,1423
99773,Cumaribo,Male,2013,10-14,2813,2634.5
99773,Cumaribo,Male,2019,20-24,2564,2444
99773,Cumaribo,Male,2019,25-29,2055,1832
99773,Cumaribo,Male,2019,30-34,1653,1481.5
99773,Cumaribo,Male,2019,35-39,1331,1227
99773,Cumaribo,Male,2019,40-44,1352,1176.5
99773,Cumaribo,Male,2019,50-54,850,817
99773,Cumaribo,Male,2020,20-24,3139,2777
99773,Cumaribo,Male,2020,25-29,2094,1873.5
99773,Cumaribo,Male,2020,30-34,1957,1651.5
99773,Cumaribo,Male,2020,35-39,1392,1271
99773,Cumaribo,Male,2020,40-44,1434,1230
99773,Cumaribo,Male,2020,45-49,1162,1035
99773,Cumaribo,Male,2020,50-54,1093,952.5
99773,Cumaribo,Male,2020,55+,2107,1993
99773,Cumaribo,Male,2021,20-24,2828,2667.5
99773,Cumaribo,Male,2021,25-29,2288,1992.5
99773,Cumaribo,Male,2021,30-34,2190,1786
99773,Cumaribo,Male,2021,35-39,1727,1451.5
99773,Cumaribo,Male,2021,40-44,1466,1259
99773,Cumaribo,Male,2021,45-49,1012,975
99773,Cumaribo,Male,2021,50-54,1215,1027.5
99773,Cumaribo,Male,2021,55+,1957,2003.5
99624,Santa Rosalía,Female,1998,20-24,94,87
99624,Santa Rosalía,Female,1998,25-29,61,57
99624,Santa Rosalía,Female,1999,15-19,147,144.5
99624,Santa Rosalía,Female,1999,20-24,98,91.5
99624,Santa Rosalía,Female,1999,25-29,74,65.5
99624,Santa Rosalía,Female,2000,20-24,139,114
99624,Santa Rosalía,Female,2000,25-29,78,69.5
99624,Santa Rosalía,Female,2000,30-34,62,56.5
99624,Santa Rosalía,Female,2000,40-44,52,75
99624,Santa Rosalía,Female,2001,25-29,69,67
99624,Santa Rosalía,Female,2001,40-44,67,61
99624,Santa Rosalía,Female,2003,40-44,89,75
99624,Santa Rosalía,Female,2006,30-34,76,82
99624,Santa Rosalía,Female,2011,40-44,85,91.5
99624,Santa Rosalía,Female,2018,45-49,84,85.5
99624,Santa Rosalía,Male,1998,20-24,59,53
99624,Santa Rosalía,Male,1998,25-29,132,109
99624,Santa Rosalía,Male,1998,30-34,51,50
99624,Santa Rosalía,Male,1998,40-44,59,62.5
99624,Santa Rosalía,Male,1998,50-54,0,6.5
99624,Santa Rosalía,Male,1999,20-24,79,66.5
99624,Santa Rosalía,Male,1999,25-29,115,102.5
99624,Santa Rosalía,Male,1999,30-34,86,70.5
99624,Santa Rosalía,Male,1999,50-54,121,69
99624,Santa Rosalía,Male,2000,20-24,87,101.5
99624,Santa Rosalía,Male,2000,25-29,159,126
99624,Santa Rosalía,Male,2000,30-34,71,65.5
99624,Santa Rosalía,Male,2000,40-44,83,67.5
99624,Santa Rosalía,Male,2000,50-54,74,48
99624,Santa Rosalía,Male,2001,25-29,99,97.5
99624,Santa Rosalía,Male,2001,35-39,93,108
99624,Santa Rosalía,Male,2001,40-44,59,62.5
99624,Santa Rosalía,Male,2001,50-54,38,32
99624,Santa Rosalía,Male,2002,20-24,73,94.5
99624,Santa Rosalía,Male,2002,35-39,96,171
99624,Santa Rosalía,Male,2002,50-54,50,40.5
99624,Santa Rosalía,Male,2003,50-54,102,68.5
99624,Santa Rosalía,Male,2004,50-54,61,50.5
99624,Santa Rosalía,Male,2005,50-54,154,99
99624,Santa Rosalía,Male,2006,35-39,107,115
99624,Santa Rosalía,Male,2006,50-54,0,24
99624,Santa Rosalía,Male,2007,10-14,206,221
99624,Santa Rosalía,Male,2007,50-54,147,100
99624,Santa Rosalía,Male,2008,50-54,47,52
99624,Santa Rosalía,Male,2009,30-34,107,109.5
99624,Santa Rosalía,Male,2009,50-54,175,118.5
99624,Santa Rosalía,Male,2010,50-54,84,75
99624,Santa Rosalía,Male,2011,25-29,128,137.5
99624,Santa Rosalía,Male,2011,50-54,118,94.5
99624,Santa Rosalía,Male,2012,50-54,167,121
99624,Santa Rosalía,Male,2013,50-54,97,88.5
