Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99524,La Primavera,Female,1998,25-29,0,19
95025,El Retorno,Male,2000,25-29,4,14
94343,Barrancominas,Male,2000,40-44,0,3
94343,Barrancominas,Male,2000,55+,3,8
91669,Puerto Santander,Male,2002,15-19,0,4
91460,Mirití - Paraná,Male,2001,15-19,0,1
91460,Mirití - Paraná,Male,2002,45-49,0,1
91460,Mirití - Paraná,Male,2002,55+,1,2
91407,La Pedrera,Female,1999,10-14,0,1
91263,El Encanto,Female,2004,45-49,0,1
91263,El Encanto,Male,1998,35-39,0,1
86571,Puerto Guzmán,Male,2000,25-29,6,25
81300,Fortul,Male,1999,20-24,4,6
81300,Fortul,Male,1999,25-29,5,6
81300,Fortul,Male,2000,10-14,1,30
81300,Fortul,Male,2001,20-24,4,8
81065,Arauquita,Female,1998,50+,7,20
81065,Arauquita,Female,1999,50+,7,14
81065,Arauquita,Female,2000,50+,7,100
50350,La Macarena,Male,1998,25-29,3,4
50350,La Macarena,Male,2001,40-44,1,2
50350,La Macarena,Male,2002,25-29,3,4
50350,La Macarena,Male,2003,25-29,3,38
19050,Argelia,Male,2005,40-44,4,28
5134,Campamento,Female,1998,50+,6,47
5134,Campamento,Male,1998,55+,14,47
5134,Campamento,Male,1999,25-29,3,10
