Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99773,Cumaribo,Male,1998,15-19,-126,34
99524,La Primavera,Male,1998,25-29,-18,3
99524,La Primavera,Male,1998,50-54,-28,13
99524,La Primavera,Male,1999,50-54,-15,13
99524,La Primavera,Male,2000,50-54,-1,13
97777,Papunahua,Female,1998,15-19,-8,1
97777,Papunahua,Female,1998,20-24,-6,-0
97777,Papunahua,Female,1998,25-29,-2,-0
97777,Papunahua,Female,1998,35-39,-3,-0
97777,Papunahua,Female,1998,40-44,-4,-0
97777,Papunahua,Female,1998,45-49,-1,-0
97777,Papunahua,Female,1998,50+,-13,1
97777,Papunahua,Female,1999,15-19,-7,1
97777,Papunahua,Female,1999,20-24,-4,-0
97777,Papunahua,Female,1999,25-29,-1,-0
97777,Papunahua,Female,1999,35-39,-3,-0
97777,Papunahua,Female,1999,40-44,-3,-0
97777,Papunahua,Female,1999,45-49,-1,-0
97777,Papunahua,Female,1999,50+,-11,1
97777,Papunahua,Female,2000,15-19,-5,1
97777,Papunahua,Female,2000,20-24,-3,-0
97777,Papunahua,Female,2000,35-39,-2,-0
97777,Papunahua,Female,2000,40-44,-2,-0
97777,Papunahua,Female,2000,50+,-9,1
97777,Papunahua,Female,2001,15-19,-4,1
97777,Papunahua,Female,2001,20-24,-2,-0
97777,Papunahua,Female,2001,35-39,-1,-0
97777,Papunahua,Female,2001,40-44,-2,-0
97777,Papunahua,Female,2001,50+,-7,1
97777,Papunahua,Female,2002,15-19,-2,1
97777,Papunahua,Female,2002,20-24,-1,-0
97777,Papunahua,Female,2002,40-44,-1,-0
97777,Papunahua,Female,2002,50+,-5,1
97777,Papunahua,Female,2003,15-19,-1,1
97777,Papunahua,Female,2003,50+,-3,1
97777,Papunahua,Female,2004,50+,-1,1
97777,Papunahua,Male,1998,10-14,-6,0
97777,Papunahua,Male,1998,15-19,-4,-0
97777,Papunahua,Male,1998,20-24,-14,-0
97777,Papunahua,Male,1998,25-29,-3,-0
97777,Papunahua,Male,1998,30-34,-2,-0
97777,Papunahua,Male,1998,35-39,-4,-0
97777,Papunahua,Male,1998,40-44,-5,0
97777,Papunahua,Male,1998,45-49,-4,0
97777,Papunahua,Male,1998,55+,-9,0
97777,Papunahua,Male,1999,10-14,-4,0
97777,Papunahua,Male,1999,15-19,-2,-0
97777,Papunahua,Male,1999,20-24,-12,-0
97777,Papunahua,Male,1999,25-29,-3,-0
97777,Papunahua,Male,1999,30-34,-1,-0
97777,Papunahua,Male,1999,35-39,-3,-0
97777,Papunahua,Male,1999,40-44,-5,0
97777,Papunahua,Male,1999,45-49,-4,0
97777,Papunahua,Male,1999,55+,-8,0
97777,Papunahua,Male,2000,10-14,-2,0
97777,Papunahua,Male,2000,15-19,-1,-0
97777,Papunahua,Male,2000,20-24,-10,-0
97777,Papunahua,Male,2000,25-29,-2,-0
97777,Papunahua,Male,2000,35-39,-2,-0
97777,Papunahua,Male,2000,40-44,-4,0
97777,Papunahua,Male,2000,45-49,-3,0
97777,Papunahua,Male,2000,55+,-6,0
97777,Papunahua,Male,2001,20-24,-7,-0
97777,Papunahua,Male,2001,25-29,-1,-0
97777,Papunahua,Male,2001,35-39,-2,-0
97777,Papunahua,Male,2001,40-44,-3,0
97777,Papunahua,Male,2001,45-49,-2,0
97777,Papunahua,Male,2001,55+,-4,0
97777,Papunahua,Male,2002,20-24,-5,-0
