Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99624,Santa Rosalía,Male,1998,50-54,13,0
99624,Santa Rosalía,Male,1999,50-54,24,121
99624,Santa Rosalía,Male,2000,50-54,24,74
99624,Santa Rosalía,Male,2001,50-54,26,38
99624,Santa Rosalía,Male,2002,50-54,31,50
99624,Santa Rosalía,Male,2003,50-54,35,102
99624,Santa Rosalía,Male,2004,50-54,40,61
99624,Santa Rosalía,Male,2005,50-54,44,154
99624,Santa Rosalía,Male,2006,50-54,48,0
99624,Santa Rosalía,Male,2007,50-54,53,147
99624,Santa Rosalía,Male,2008,50-54,57,47
99624,Santa Rosalía,Male,2009,50-54,62,175
99624,Santa Rosalía,Male,2010,50-54,66,84
99624,Santa Rosalía,Male,2011,50-54,71,118
99624,Santa Rosalía,Male,2012,50-54,75,167
99624,Santa Rosalía,Male,2013,50-54,80,97
99624,Santa Rosalía,Male,2014,50-54,84,0
99624,Santa Rosalía,Male,2015,50-54,89,0
99624,Santa Rosalía,Male,2016,50-54,93,223
99624,Santa Rosalía,Male,2017,50-54,98,140
99624,Santa Rosalía,Male,2018,50-54,102,147
99624,Santa Rosalía,Male,2019,50-54,106,0
99624,Santa Rosalía,Male,2020,50-54,111,311
99624,Santa Rosalía,Male,2021,50-54,115,61
99524,La Primavera,Male,1998,50-54,36,88
99524,La Primavera,Male,1999,50-54,53,83
99524,La Primavera,Male,2000,50-54,53,92
99524,La Primavera,Male,2001,50-54,36,67
99524,La Primavera,Male,2002,50-54,71,136
99524,La Primavera,Male,2003,50-54,41,85
99524,La Primavera,Male,2004,50-54,55,143
99524,La Primavera,Male,2005,50-54,69,100
99524,La Primavera,Male,2006,50-54,83,58
99524,La Primavera,Male,2007,50-54,97,82
99524,La Primavera,Male,2008,50-54,111,246
99524,La Primavera,Male,2009,50-54,125,250
99524,La Primavera,Male,2010,50-54,139,319
99524,La Primavera,Male,2011,50-54,153,46
99524,La Primavera,Male,2012,50-54,166,279
99524,La Primavera,Male,2013,50-54,180,119
99524,La Primavera,Male,2014,50-54,194,88
99524,La Primavera,Male,2015,50-54,208,293
99524,La Primavera,Male,2016,50-54,222,178
99524,La Primavera,Male,2017,50-54,236,417
99524,La Primavera,Male,2018,50-54,250,558
99524,La Primavera,Male,2019,50-54,264,728
99524,La Primavera,Male,2020,50-54,278,120
99524,La Primavera,Male,2021,50-54,292,530
97666,Taraira,Female,1998,40-44,2,0
97666,Taraira,Female,1999,40-44,4,0
97666,Taraira,Female,2000,40-44,5,50
97666,Taraira,Female,2001,40-44,7,0
97666,Taraira,Female,2002,40-44,8,26
97666,Taraira,Female,2003,40-44,10,29
97666,Taraira,Female,2004,40-44,11,0
97666,Taraira,Female,2005,40-44,13,16
97666,Taraira,Female,2006,40-44,15,59
97666,Taraira,Female,2007,40-44,16,0
97666,Taraira,Female,2008,40-44,18,0
97666,Taraira,Female,2009,40-44,19,84
97666,Taraira,Female,2010,40-44,21,0
97666,Taraira,Female,2011,40-44,22,67
97666,Taraira,Female,2012,40-44,24,121
97666,Taraira,Female,2013,40-44,25,0
97666,Taraira,Female,2014,40-44,27,0
97666,Taraira,Female,2015,40-44,28,348
97666,Taraira,Female,2016,40-44,30,29
97666,Taraira,Female,2017,40-44,31,198
97666,Taraira,Female,2018,40-44,33,0
97666,Taraira,Female,2019,40-44,35,39
97666,Taraira,Female,2020,40-44,36,44
97666,Taraira,Female,2021,40-44,38,0
97161,Carurú,Female,1998,10-14,7,0
97161,Carurú,Female,1998,30-34,6,82
97161,Carurú,Female,1998,40-44,1,0
97161,Carurú,Female,1999,10-14,14,47
97161,Carurú,Female,1999,30-34,14,128
97161,Carurú,Female,1999,40-44,3,47
97161,Carurú,Female,1999,45-49,1,499
97161,Carurú,Female,2000,10-14,28,292
97161,Carurú,Female,2000,30-34,14,131
97161,Carurú,Female,2000,40-44,5,103
97161,Carurú,Female,2001,10-14,14,51
97161,Carurú,Female,2001,30-34,10,63
97161,Carurú,Female,2001,40-44,3,55
97161,Carurú,Female,2002,10-14,28,223
97161,Carurú,Female,2002,30-34,9,62
97161,Carurú,Female,2002,40-44,10,255
97161,Carurú,Female,2003,10-14,7,0
97161,Carurú,Female,2003,30-34,11,62
97161,Carurú,Female,2003,40-44,3,0
97161,Carurú,Female,2004,10-14,14,109
97161,Carurú,Female,2004,30-34,16,73
97161,Carurú,Female,2004,40-44,6,49
