Code,Municipality,Sex,Year,Age,Old Population,Updated Population
97889,Yavaraté,Female,1998,10-14,73,0
97889,Yavaraté,Female,1998,25-29,28,0
97889,Yavaraté,Female,1999,10-14,74,0
97889,Yavaraté,Female,1999,25-29,27,0
97889,Yavaraté,Female,2000,10-14,75,0
97889,Yavaraté,Female,2000,25-29,26,343
97889,Yavaraté,Female,2001,10-14,77,0
97889,Yavaraté,Female,2001,25-29,25,0
97889,Yavaraté,Female,2002,10-14,78,0
97889,Yavaraté,Female,2002,25-29,24,226
97889,Yavaraté,Female,2003,10-14,79,659
97889,Yavaraté,Female,2003,25-29,23,0
97889,Yavaraté,Female,2004,10-14,81,0
97889,Yavaraté,Female,2004,25-29,22,0
97889,Yavaraté,Female,2005,10-14,82,0
97889,Yavaraté,Female,2005,25-29,21,0
97889,Yavaraté,Female,2006,10-14,83,0
97889,Yavaraté,Female,2006,25-29,20,0
97889,Yavaraté,Female,2007,10-14,85,0
97889,Yavaraté,Female,2007,25-29,19,0
97889,Yavaraté,Female,2008,10-14,86,1248
97889,Yavaraté,Female,2008,25-29,18,0
97889,Yavaraté,Female,2009,10-14,87,0
97889,Yavaraté,Female,2009,25-29,17,0
97889,Yavaraté,Female,2010,10-14,89,1467
97889,Yavaraté,Female,2010,25-29,16,0
97889,Yavaraté,Female,2011,10-14,90,0
97889,Yavaraté,Female,2011,25-29,15,0
97889,Yavaraté,Female,2012,10-14,91,0
97889,Yavaraté,Female,2012,25-29,14,0
97889,Yavaraté,Female,2013,10-14,92,0
97889,Yavaraté,Female,2013,25-29,13,0
97889,Yavaraté,Female,2014,10-14,94,0
97889,Yavaraté,Female,2014,25-29,12,0
97889,Yavaraté,Female,2015,10-14,95,0
97889,Yavaraté,Female,2015,25-29,13,366
97889,Yavaraté,Female,2016,10-14,96,0
97889,Yavaraté,Female,2016,25-29,10,0
97889,Yavaraté,Female,2017,10-14,98,0
97889,Yavaraté,Female,2017,25-29,9,0
97889,Yavaraté,Female,2018,10-14,99,0
97889,Yavaraté,Female,2018,25-29,8,0
97889,Yavaraté,Female,2019,10-14,100,0
97889,Yavaraté,Female,2019,25-29,7,0
97889,Yavaraté,Female,2020,10-14,102,2561
97889,Yavaraté,Female,2020,25-29,6,0
97889,Yavaraté,Female,2021,10-14,103,0
97889,Yavaraté,Female,2021,25-29,5,0
97161,Carurú,Female,1998,10-14,7,3295
97161,Carurú,Female,1998,30-34,15,1535
97161,Carurú,Female,1998,35-39,1,0
97161,Carurú,Female,1999,10-14,7,0
97161,Carurú,Female,1999,30-34,4,0
97161,Carurú,Female,1999,35-39,1,0
97161,Carurú,Female,2000,10-14,7,0
97161,Carurú,Female,2000,30-34,6,0
97161,Carurú,Female,2000,35-39,1,0
97161,Carurú,Female,2001,10-14,7,0
97161,Carurú,Female,2001,30-34,7,0
97161,Carurú,Female,2001,35-39,4,0
97161,Carurú,Female,2002,10-14,7,0
97161,Carurú,Female,2002,30-34,9,0
97161,Carurú,Female,2002,35-39,7,0
97161,Carurú,Female,2003,10-14,7,0
97161,Carurú,Female,2003,30-34,11,0
97161,Carurú,Female,2003,35-39,11,0
97161,Carurú,Female,2004,10-14,7,0
97161,Carurú,Female,2004,30-34,12,0
97161,Carurú,Female,2004,35-39,14,0
97161,Carurú,Female,2005,10-14,26,0
97161,Carurú,Female,2005,30-34,14,0
97161,Carurú,Female,2005,35-39,17,0
97161,Carurú,Female,2006,10-14,45,0
97161,Carurú,Female,2006,30-34,16,230
97161,Carurú,Female,2006,35-39,20,0
97161,Carurú,Female,2007,10-14,64,0
97161,Carurú,Female,2007,30-34,17,0
97161,Carurú,Female,2007,35-39,23,450
97161,Carurú,Female,2008,10-14,82,0
97161,Carurú,Female,2008,30-34,19,0
97161,Carurú,Female,2008,35-39,27,0
97161,Carurú,Female,2009,10-14,101,0
97161,Carurú,Female,2009,30-34,21,0
97161,Carurú,Female,2009,35-39,30,0
97161,Carurú,Female,2010,10-14,120,0
97161,Carurú,Female,2010,30-34,22,0
97161,Carurú,Female,2010,35-39,33,0
97161,Carurú,Female,2011,10-14,139,0
97161,Carurú,Female,2011,30-34,24,0
97161,Carurú,Female,2011,35-39,36,450
97161,Carurú,Female,2012,10-14,157,0
97161,Carurú,Female,2012,30-34,26,0
97161,Carurú,Female,2012,35-39,40,0
97161,Carurú,Female,2013,10-14,176,0
97161,Carurú,Female,2013,30-34,28,3245
97161,Carurú,Female,2013,35-39,43,0
97161,Carurú,Female,2014,10-14,195,0
97161,Carurú,Female,2014,30-34,29,3285
97161,Carurú,Female,2014,35-39,46,209
97161,Carurú,Female,2015,10-14,214,0
97161,Carurú,Female,2015,30-34,31,0
97161,Carurú,Female,2015,35-39,49,0
97161,Carurú,Female,2016,10-14,232,0
97161,Carurú,Female,2016,30-34,33,0
97161,Carurú,Female,2016,35-39,53,0
97161,Carurú,Female,2017,10-14,251,0
97161,Carurú,Female,2017,30-34,34,0
97161,Carurú,Female,2017,35-39,56,0
97161,Carurú,Female,2018,10-14,270,0
97161,Carurú,Female,2018,30-34,36,0
97161,Carurú,Female,2018,35-39,59,454
97161,Carurú,Female,2019,10-14,289,0
97161,Carurú,Female,2019,30-34,38,241
97161,Carurú,Female,2019,35-39,62,0
97161,Carurú,Female,2020,10-14,308,0
97161,Carurú,Female,2020,30-34,39,0
97161,Carurú,Female,2020,35-39,65,0
97161,Carurú,Female,2021,10-14,326,0
97161,Carurú,Female,2021,30-34,41,0
97161,Carurú,Female,2021,35-39,69,0
97161,Carurú,Male,1998,55+,9,91
97161,Carurú,Male,1999,55+,13,114
97161,Carurú,Male,2000,55+,9,72
97161,Carurú,Male,2001,55+,9,67
