Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99773,Cumaribo,Female,1998,10-14,118,1015
99773,Cumaribo,Female,1998,15-19,115,1029
99773,Cumaribo,Female,1998,25-29,417,705
99773,Cumaribo,Female,1998,45-49,201,214
99773,Cumaribo,Female,1999,10-14,261,435
99773,Cumaribo,Female,1999,15-19,238,1068
99773,Cumaribo,Female,1999,20-24,849,1029
99773,Cumaribo,Female,1999,25-29,466,685
99773,Cumaribo,Female,1999,30-34,525,652
99773,Cumaribo,Female,1999,35-39,526,530
99773,Cumaribo,Female,2000,10-14,404,1885
99773,Cumaribo,Female,2000,15-19,360,1367
99773,Cumaribo,Female,2000,20-24,896,1087
99773,Cumaribo,Female,2000,25-29,514,834
99773,Cumaribo,Female,2000,30-34,557,612
99773,Cumaribo,Female,2001,10-14,546,1740
99773,Cumaribo,Female,2001,15-19,482,1120
99773,Cumaribo,Female,2001,20-24,943,1039
99773,Cumaribo,Female,2001,25-29,562,755
99773,Cumaribo,Female,2002,10-14,689,1450
99773,Cumaribo,Female,2002,15-19,604,990
99773,Cumaribo,Female,2003,10-14,832,2030
99773,Cumaribo,Female,2003,15-19,726,912
99773,Cumaribo,Female,2004,10-14,974,1015
99773,Cumaribo,Female,2019,15-19,2679,3033
99773,Cumaribo,Female,2019,20-24,1785,2549
99773,Cumaribo,Female,2019,25-29,1427,1737
99773,Cumaribo,Female,2019,30-34,1161,1254
99773,Cumaribo,Female,2019,45-49,693,1070
99773,Cumaribo,Female,2020,15-19,2801,2838
99773,Cumaribo,Female,2020,20-24,1832,2635
99773,Cumaribo,Female,2020,25-29,1475,2055
99773,Cumaribo,Female,2020,30-34,1193,1194
99773,Cumaribo,Female,2020,35-39,999,1134
99773,Cumaribo,Female,2020,40-44,852,1539
99773,Cumaribo,Female,2021,20-24,1878,2991
99773,Cumaribo,Female,2021,25-29,1523,2144
99773,Cumaribo,Female,2021,30-34,1224,1655
99773,Cumaribo,Female,2021,35-39,1022,1084
99773,Cumaribo,Female,2021,40-44,873,930
99773,Cumaribo,Male,1998,15-19,34,839
99773,Cumaribo,Male,1998,20-24,398,684
99773,Cumaribo,Male,1998,45-49,246,280
99773,Cumaribo,Male,1998,50-54,194,203
99773,Cumaribo,Male,1999,15-19,34,1015
99773,Cumaribo,Male,1999,20-24,490,1042
99773,Cumaribo,Male,1999,25-29,726,828
99773,Cumaribo,Male,1999,30-34,587,619
99773,Cumaribo,Male,1999,45-49,277,345
99773,Cumaribo,Male,1999,55+,749,1054
99773,Cumaribo,Male,2000,15-19,193,839
99773,Cumaribo,Male,2000,20-24,582,1197
99773,Cumaribo,Male,2000,25-29,770,847
99773,Cumaribo,Male,2000,30-34,623,659
99773,Cumaribo,Male,2000,45-49,307,345
99773,Cumaribo,Male,2000,50-54,251,365
99773,Cumaribo,Male,2000,55+,803,1656
99773,Cumaribo,Male,2001,10-14,621,5626
99773,Cumaribo,Male,2001,15-19,353,1059
99773,Cumaribo,Male,2001,20-24,673,1368
99773,Cumaribo,Male,2002,15-19,512,706
99773,Cumaribo,Male,2002,20-24,765,1042
99773,Cumaribo,Male,2002,50-54,307,324
99773,Cumaribo,Male,2003,15-19,672,971
99773,Cumaribo,Male,2003,20-24,857,933
99773,Cumaribo,Male,2013,10-14,2456,2813
99773,Cumaribo,Male,2019,20-24,2324,2564
99773,Cumaribo,Male,2019,25-29,1609,2055
99773,Cumaribo,Male,2019,30-34,1310,1653
99773,Cumaribo,Male,2019,35-39,1123,1331
99773,Cumaribo,Male,2019,40-44,1001,1352
99773,Cumaribo,Male,2019,50-54,784,850
99773,Cumaribo,Male,2020,20-24,2415,3139
99773,Cumaribo,Male,2020,25-29,1653,2094
99773,Cumaribo,Male,2020,30-34,1346,1957
99773,Cumaribo,Male,2020,35-39,1150,1392
99773,Cumaribo,Male,2020,40-44,1026,1434
99773,Cumaribo,Male,2020,45-49,908,1162
99773,Cumaribo,Male,2020,50-54,812,1093
99773,Cumaribo,Male,2020,55+,1879,2107
99773,Cumaribo,Male,2021,20-24,2507,2828
99773,Cumaribo,Male,2021,25-29,1697,2288
99773,Cumaribo,Male,2021,30-34,1382,2190
99773,Cumaribo,Male,2021,35-39,1176,1727
99773,Cumaribo,Male,2021,40-44,1052,1466
99773,Cumaribo,Male,2021,45-49,938,1012
99773,Cumaribo,Male,2021,50-54,840,1215
99773,Cumaribo,Male,2021,55+,1932,1957
99624,Santa Rosalía,Female,1998,20-24,80,94
