Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99773,Cumaribo,Female,1998,15-19,115,1345
99773,Cumaribo,Female,1998,25-29,417,1375
99773,Cumaribo,Female,1998,50+,829,1075
99773,Cumaribo,Female,1999,10-14,261,1306
99773,Cumaribo,Female,1999,15-19,238,897
99773,Cumaribo,Female,1999,45-49,224,352
99773,Cumaribo,Female,2000,15-19,360,449
99773,Cumaribo,Female,2000,25-29,514,688
99773,Cumaribo,Female,2000,35-39,548,563
99773,Cumaribo,Female,2000,50+,926,1075
99773,Cumaribo,Female,2001,10-14,546,1306
99773,Cumaribo,Female,2001,25-29,562,688
99773,Cumaribo,Female,2001,45-49,271,704
99773,Cumaribo,Female,2002,25-29,610,688
99773,Cumaribo,Female,2003,10-14,832,1306
99773,Cumaribo,Female,2004,15-19,848,1794
99773,Cumaribo,Female,2004,30-34,684,917
99773,Cumaribo,Female,2019,20-24,1785,2010
99773,Cumaribo,Female,2019,50+,1853,2417
99773,Cumaribo,Female,2021,45-49,740,879
99773,Cumaribo,Male,1998,10-14,163,1766
99773,Cumaribo,Male,1998,15-19,34,2593
99773,Cumaribo,Male,1998,20-24,398,1850
99773,Cumaribo,Male,1998,25-29,682,845
99773,Cumaribo,Male,1998,35-39,561,582
99773,Cumaribo,Male,1998,50-54,194,330
99773,Cumaribo,Male,1999,10-14,315,883
99773,Cumaribo,Male,1999,15-19,34,433
99773,Cumaribo,Male,2000,15-19,193,1297
99773,Cumaribo,Male,2000,50-54,251,439
99773,Cumaribo,Male,2001,10-14,621,2648
99773,Cumaribo,Male,2001,15-19,353,433
99773,Cumaribo,Male,2004,10-14,1080,1766
99773,Cumaribo,Male,2021,55+,1932,2050
99624,Santa Rosalía,Female,2000,40-44,52,98
99624,Santa Rosalía,Female,2006,30-34,76,88
99624,Santa Rosalía,Female,2011,40-44,85,98
99624,Santa Rosalía,Female,2018,45-49,84,87
99624,Santa Rosalía,Male,1998,40-44,42,66
99624,Santa Rosalía,Male,2000,20-24,60,116
99624,Santa Rosalía,Male,2001,35-39,93,123
99624,Santa Rosalía,Male,2001,40-44,56,66
99624,Santa Rosalía,Male,2002,20-24,73,116
99624,Santa Rosalía,Male,2002,35-39,96,246
99624,Santa Rosalía,Male,2006,35-39,107,123
99624,Santa Rosalía,Male,2007,10-14,206,236
99624,Santa Rosalía,Male,2009,30-34,107,112
99624,Santa Rosalía,Male,2011,25-29,128,147
99624,Santa Rosalía,Male,2020,25-29,157,294
99624,Santa Rosalía,Male,2020,35-39,146,246
99624,Santa Rosalía,Male,2021,55+,223,276
99524,La Primavera,Female,1998,25-29,19,140
99524,La Primavera,Female,2000,40-44,45,58
99524,La Primavera,Female,2000,45-49,35,156
99524,La Primavera,Female,2003,20-24,116,398
